Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
14-Aug-07,4373.9,4394.3,4354.35,4370.2,43545272,2291.42
16-Aug-07,4366,4366,4171.15,4178.6,97455252,5647.4
17-Aug-07,4171.1,4171.1,4002.2,4108.05,136745082,7890.52
20-Aug-07,4108.95,4262.6,4108.95,4209.05,68848163,4144.18
21-Aug-07,4209.55,4238.1,4058.55,4074.9,76222185,4603.08
22-Aug-07,4081.25,4165.7,4040.15,4153.15,88280495,4850.94
23-Aug-07,4160.1,4249.85,4100.8,4114.95,94064917,5064.67
24-Aug-07,4113.05,4201.45,4110.05,4190.15,63207503,3494.02
27-Aug-07,4193.6,4310,4193.6,4302.6,63334364,3628.75
28-Aug-07,4302.4,4329.15,4280.6,4320.7,64161720,3763.78
29-Aug-07,4317.7,4368.6,4226.35,4359.3,86795180,4948.57
30-Aug-07,4360.35,4422.3,4359.75,4412.3,129235436,6876.16
31-Aug-07,4412.6,4471.3,4403,4464,84522020,4506.79
03-Sep-07,4466.65,4490.55,4452.4,4474.75,82426744,3684.82
04-Sep-07,4481.55,4501.3,4460.4,4479.25,72596442,3803.46
05-Sep-07,4479.6,4507.75,4458.55,4475.85,74049046,4253.75
06-Sep-07,4475.7,4522.5,4445.55,4518.6,60723408,3269.77
07-Sep-07,4518.65,4547.75,4499.9,4509.5,58007769,3244.15
10-Sep-07,4506.85,4515.25,4452.95,4507.85,68954773,2945.42
11-Sep-07,4509.65,4538.6,4487.15,4497.05,80407538,3745.65
12-Sep-07,4498.65,4531.5,4490.4,4496.85,67387402,3665.02
13-Sep-07,4498.05,4540.6,4498.05,4528.95,59367856,3806.79
14-Sep-07,4530,4582.6,4508.85,4518,71396061,4106.56
17-Sep-07,4518.45,4549.05,4482.85,4494.65,51303287,3001.73
18-Sep-07,4494.1,4551.8,4481.55,4546.2,56445958,3739.55
19-Sep-07,4550.25,4739,4550.25,4732.35,108516311,6534.71
20-Sep-07,4734.85,4760.85,4721.15,4747.55,94397108,5216.22
21-Sep-07,4752.95,4855.7,4733.7,4837.55,162157477,6337.54
24-Sep-07,4837.15,4941.15,4837.15,4932.2,163303253,7861.31
25-Sep-07,4939.1,4953.9,4878.15,4938.85,141397062,6756
26-Sep-07,4937.6,4980.85,4930.35,4940.5,117795116,6273.94
27-Sep-07,4942.7,5016.4,4942.7,5000.55,172282571,9615.32
28-Sep-07,4996.45,5055.8,4996.45,5021.35,138449641,7878.16
01-Oct-07,5021.5,5089.3,5001.35,5068.95,132718024,8090.28
03-Oct-07,5069,5261.35,5034.15,5210.8,189671371,11823.12
04-Oct-07,5211.65,5233.1,5126.05,5208.65,127928117,8086.8
05-Oct-07,5208.15,5248.55,5164.5,5185.85,102068106,7219.38
08-Oct-07,5186.25,5249.3,5024.75,5085.1,111963708,7196.73
09-Oct-07,5062.65,5348.7,5000.95,5327.25,140800436,8932.79
10-Oct-07,5328.15,5454.7,5328.15,5441.45,184935570,11247.93
